file,score,used_by,width,height,sharpness,contrast,brightness,fill,bytes_per_px,problems,products
shower-to-shower-150g-sandal.jpg,1.5,1,1000,1000,488.5,41.3,217.4,0.391,0.0471,heavily compressed,Shower To Shower 150G Sandal
smoodh-10rs.jpg,1.5,1,1000,1000,383.8,55.6,217.7,0.344,0.0738,heavily compressed,Smoodh 10Rs
sting-energy250ml.jpg,1.5,1,1000,1000,825.5,77.4,215.5,0.244,0.0637,heavily compressed,Sting Energy250Ml
sunfeast-dark-f-ch-25.jpg,1.5,1,1000,1000,833.6,87.1,205.5,0.263,0.0566,heavily compressed,Sunfeast Dark F Ch-25
surf-xl-mat-liq-fl-1l-refill.jpg,1.5,1,1000,1000,1039.5,78.8,213.1,0.24,0.0502,heavily compressed,Surf Xl Mat Liq Fl 1L Refill
surf-xl-mat-liq-fr-l-4-lt.jpg,1.5,1,1000,1000,1001.0,91.8,193.7,0.336,0.0645,heavily compressed,Surf Xl Mat Liq Fr L 4 Lt
tres-sh-s-s-80ml.jpg,1.5,1,1000,1000,1397.5,82.3,208.3,0.27,0.0617,heavily compressed,Tres Sh S&S 80Ml
unibic-fruit-nut-cookies.png,1.5,1,500,500,2392.9,33.5,95.5,0.37,0.3107,flat,Unibic Fruit&Nut Cookies
uzhavu-herbal-jaggery-powder500g.jpg,1.5,1,667,1000,916.1,36.4,220.7,0.301,0.1343,flat,Uzhavu Herbal Jaggery Powder500G
uzhavu-jaggery-pow-500g.jpg,1.5,1,334,500,1278.7,34.8,220.3,0.332,0.1397,flat,Uzhavu Jaggery Pow 500G
yippee-magic-masala-140g.jpg,1.5,1,1000,482,728.9,37.8,68.6,0.549,0.2103,flat,Yippee Magic Masala 140G
7up-2-lt.jpg,1.0,1,750,1000,3670.0,75.2,59.8,0.55,0.1896,dark,7Up 2 Lt
amman-murukku.png,1.0,1,1000,1000,466.1,46.0,225.7,0.248,0.4767,blown out,Amman Murukku
brit-marie-gold-20rs.jpg,1.0,1,600,600,659.4,53.8,227.4,0.285,0.1035,blown out,Brit Marie Gold 20Rs
brit-nc-cracker-10rs.jpg,1.0,1,569,569,767.1,51.2,227.5,0.272,0.0755,blown out,Brit Nc Cracker-10Rs
cap.png,1.0,1,580,387,785.4,54.6,51.9,0.456,0.5611,dark,Cap
dairy-milk-20rs.jpg,1.0,1,539,496,3962.2,68.7,226.9,0.943,0.1361,blown out,Dairy Milk 20Rs
dds-gram-dhall-500-g.jpg,1.0,1,667,1000,1255.7,48.9,229.7,0.291,0.1011,blown out,Dds Gram Dhall 500 G
f-l-bb-cream9g.jpg,1.0,1,500,417,1020.1,40.2,236.8,0.239,0.0927,blown out,F&L Bb Cream9G
flair-10rs.jpg,1.0,1,1000,1000,1531.9,51.0,226.6,0.329,0.0992,blown out,Flair 10Rs
gloves.png,1.0,1,1000,1000,744.6,78.8,61.9,0.403,0.701,dark,Gloves
goodday-cashew-25rs.jpg,1.0,1,1000,784,672.4,49.0,226.9,0.291,0.0822,blown out,Goodday Cashew 25Rs
hatsun-curd-200g.png,1.0,1,1000,562,980.3,83.4,46.7,0.267,0.3191,dark,Hatsun Curd 200G
maggi-15rs.png,1.0,1,1500,1500,1611.5,50.8,224.9,0.4,0.0756,blown out,Maggi 15Rs
max-protein-125-rs.png,1.0,1,614,367,1587.3,71.4,59.3,0.516,0.2095,dark,Max Protein 125 Rs
max-protein-80.png,1.0,1,614,367,1587.3,71.4,59.3,0.516,0.2095,dark,Max Protein 80
natchiyar-peanut-candy.jpg,1.0,1,1000,1000,1361.1,52.2,227.6,0.346,0.0966,blown out,Natchiyar Peanut Candy
navi-maida-500g.png,1.0,1,500,500,359.2,58.2,35.8,0.335,0.5803,dark,Navi Maida 500G
pears-soft-fresh-80g.jpg,1.0,1,500,500,899.9,56.6,224.4,0.232,0.1026,blown out,Pears Soft&Fresh 80G
rajam-badam-200g.jpg,1.0,1,948,1000,1757.6,55.5,224.7,0.276,0.1057,blown out,Rajam Badam 200G
unibic-choco-ripple-cookies-10.png,1.0,1,1000,518,674.4,72.0,56.2,0.438,0.6036,dark,Unibic Choco Ripple Cookies-10
vasavi-moong.jpg,1.0,1,667,1000,440.1,56.7,38.7,0.976,0.0883,dark,Vasavi Moong
whisper-ul-xl-150pads.jpg,1.0,1,1000,1000,930.7,52.9,227.1,0.283,0.0851,blown out,Whisper Ul Xl+ 150Pads
axe-deo-72h.jpg,0.5,1,286,1000,2793.7,87.0,117.3,0.96,0.1531,awkward shape (3.5:1),Axe Deo 72H
axe-oil-3-ml.jpg,0.5,1,351,1000,2971.3,60.3,108.1,0.701,0.2574,awkward shape (2.8:1),Axe Oil 3 Ml
axe-oil-5-ml.jpg,0.5,1,351,1000,2971.3,60.3,108.1,0.701,0.2574,awkward shape (2.8:1),Axe Oil 5 Ml
bisleri-soda-600ml.jpg,0.5,1,284,1000,585.1,55.6,100.0,0.96,0.2236,awkward shape (3.5:1),Bisleri Soda 600ml
